Title,Type,Release_Year,Genre,Director,Production_House,Lead_Actors,Language,Budget_Millions,Box_Office_Millions,OTT_Platform,Runtime_Minutes,No_of_Episodes,IMDb_Rating,Audience_Score,Critics_Score,Awards_Nominations,Awards_Won,Social_Media_Mentions,User_Reviews_Count,Viewership_Hours_Million
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
Bajrangi Bhaijaan,Movie,2015,Drama,Kabir Khan,Salman Khan Films,"Salman Khan, Harshaali Malhotra",Hindi,90,915,Disney+ Hotstar,163,,8,92,88,14,6,78000,22000,250
Dangal,Movie,2016,Biography,Nitesh Tiwari,Aamir Khan Productions,"Aamir Khan, Fatima Sana Shaikh",Hindi,70,2000,Netflix,161,,8.4,95,94,20,12,100000,30000,310
Padmaavat,Movie,2018,Historical,Sanjay Leela Bhansali,Bhansali Productions,"Ranveer Singh, Deepika Padukone",Hindi,215,585,Amazon Prime,164,,7,80,85,18,9,92000,24000,275
Gully Boy,Movie,2019,Drama,Zoya Akhtar,Excel Entertainment,"Ranveer Singh, Alia Bhatt",Hindi,55,238,Amazon Prime,153,,8.2,90,87,13,7,76000,18000,190
Shershaah,Movie,2021,Biography,Vishnuvardhan,Dharma Productions,"Sidharth Malhotra, Kiara Advani",Hindi,55,60,Amazon Prime,135,,8.4,96,85,10,5,85000,27000,220
